movie_id,movie_name,movie_type,TFS,ONS,optimal_holdback,max_profit
20224579,악마들,Theater-Exclusive (High TFS + Low ONS),8.4,4.2,165,1289395460.3252797
20227410,천박사 퇴마 연구소: 설경의 비밀,Theater-Exclusive (High TFS + Low ONS),8.3,8.4,180,72452442229.39592
20218541,밀수,Theater-Exclusive (High TFS + Low ONS),8.4,4.2,165,112822102778.46198
20225824,치악산,Theater-Exclusive (High TFS + Low ONS),7.2,6.8,180,12053441102.54795
20224517,용감한 시민,Theater-Exclusive (High TFS + Low ONS),8.4,4.2,165,51575818413.01119
20225894,뉴 노멀,Hybrid (High TFS + High ONS),4.9,9.6,180,19842538094.841103
20208962,대외비,Hybrid (High TFS + High ONS),4.9,9.6,180,53261549622.99454
20193706,카운트,Hybrid (High TFS + High ONS),4.7,9.4,180,25758602756.36987
20197654,소울메이트,Hybrid (High TFS + High ONS),4.7,9.4,180,20606882205.0959
20227626,화란,Hybrid (High TFS + High ONS),4.7,9.4,180,20606882205.0959
20226500,달짝지근해: 7510,Niche (Low TFS + Low ONS),4.4,5.8,180,32803683583.280838
20223896,거미집,Niche (Low TFS + Low ONS),4.4,5.8,180,48448517292.23016
20228819,30일,Niche (Low TFS + Low ONS),4.4,5.8,180,30280323307.64385
20198482,드림,Niche (Low TFS + Low ONS),4.4,5.8,180,70149415662.70825
20233235,가문의 영광: 리턴즈,Niche (Low TFS + Low ONS),4.4,5.8,180,20186882205.0959
