rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year
1,1,0,OLD,20212866,서울의 봄,2023-11-22,1862768675,77.6,-157311551,-7.8,48417909354,198569,-15774,-7.4,5067946,2219,8429,20231205,2023
2,2,0,OLD,20202247,싱글 인 서울,2023-11-29,176255378,7.3,10392151,6.3,2433731586,19328,1017,5.6,263102,844,2577,20231205,2023
3,3,0,OLD,20234114,괴물,2023-11-29,126940867,5.3,12305065,10.7,1343744305,13652,1375,11.2,143728,616,1426,20231205,2023
4,4,0,OLD,20235030,프레디의 피자가게,2023-11-15,28597551,1.2,2077264,7.8,6412199689,2966,146,5.2,657757,364,476,20231205,2023
5,5,0,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,15496262,0.6,154555,1.0,19302542677,1746,78,4.7,1979162,157,198,20231205,2023
6,6,0,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,10376700,0.4,954350,10.1,599387500,1646,174,11.8,71773,65,65,20231205,2023
7,7,12,OLD,20230966,사채소년,2023-11-22,7975500,0.3,4884000,158.0,182369400,1497,1035,224.0,24632,70,78,20231205,2023
8,8,0,NEW,20217334,안녕하세요,2022-05-25,12660000,0.5,12660000,100.0,229291360,1266,1266,100.0,30083,4,9,20231205,2023
9,9,-1,OLD,20197803,겨울왕국 2,2019-11-21,11481723,0.5,1914506,20.0,115011734774,1100,195,21.5,13766393,231,257,20231205,2023
10,10,0,OLD,20232536,명탐정코난: 흑철의 어영,2023-07-20,11416000,0.5,2219000,24.1,7674986755,1031,197,23.6,798578,38,143,20231205,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,2020080226,81.1,-4710918830,-70.0,46555140679,214343,-462906,-68.4,4869377,2196,8417,20231204,2023
2,2,0,OLD,20202247,싱글 인 서울,2023-11-29,165863227,6.7,-287949287,-63.5,2257476208,18311,-26878,-59.5,243774,809,2514,20231204,2023
3,3,1,OLD,20234114,괴물,2023-11-29,114635802,4.6,-76182116,-39.9,1216803438,12277,-6610,-35.0,130076,607,1371,20231204,2023
4,4,-1,OLD,20235030,프레디의 피자가게,2023-11-15,26520287,1.1,-247532223,-90.3,6383602138,2820,-24461,-89.7,654791,358,470,20231204,2023
5,5,6,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,15341707,0.6,-14663743,-48.9,19287046415,1668,-1348,-44.7,1977416,145,182,20231204,2023
6,6,0,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,9422350,0.4,-46681571,-83.2,589010800,1472,-4813,-76.6,70127,47,49,20231204,2023
7,7,2,OLD,20235261,극장판 파워 디지몬 더 비기닝,2023-11-29,11273100,0.5,-29135400,-72.1,248617300,1073,-2678,-71.4,25513,147,239,20231204,2023
8,8,0,OLD,20197803,겨울왕국 2,2019-11-21,9567217,0.4,-33945760,-78.0,115000253051,905,-3191,-77.9,13765293,209,229,20231204,2023
9,9,8,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,7226715,0.3,-925987,-11.4,1774917370,853,48,6.0,181617,40,45,20231204,2023
10,10,2,OLD,20232536,명탐정코난: 흑철의 어영,2023-07-20,9197000,0.4,-23850000,-72.2,7663570755,834,-2049,-71.1,797547,38,147,20231204,2023
1,1,0,OLD,20212866,서울의 봄,2023-11-22,6730999056,82.3,-249194817,-3.6,44535060453,677249,-23651,-3.4,4655034,2463,9692,20231203,2023
2,2,0,OLD,20202247,싱글 인 서울,2023-11-29,453812514,5.5,-50029758,-9.9,2091612981,45189,-5003,-10.0,225463,836,2578,20231203,2023
3,3,0,OLD,20235030,프레디의 피자가게,2023-11-15,274052510,3.3,-29257389,-9.6,6357081851,27281,-3014,-9.9,651971,493,794,20231203,2023
4,4,0,OLD,20234114,괴물,2023-11-29,190817918,2.3,-18763101,-9.0,1102167636,18887,-1516,-7.4,117799,611,1224,20231203,2023
5,5,0,OLD,20234798,극장판 우당탕탕 은하안전단: 진정한 용기!,2023-11-30,55499530,0.7,3181300,6.1,166812610,7134,263,3.8,22117,261,365,20231203,2023
6,6,0,OLD,20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,56103921,0.7,3534529,6.7,579588450,6285,221,3.6,68655,220,257,20231203,2023
7,7,3,OLD,20234293,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,39516700,0.5,5661900,16.7,447481200,4495,696,18.3,53554,145,161,20231203,2023
8,8,1,OLD,20197803,겨울왕국 2,2019-11-21,43512977,0.5,-1084013,-2.4,114990685834,4096,-89,-2.1,13764388,299,352,20231203,2023
9,9,-2,OLD,20235261,극장판 파워 디지몬 더 비기닝,2023-11-29,40408500,0.5,-20031100,-33.1,237344200,3751,-1871,-33.3,24440,196,286,20231203,2023
