movieCd,title,budget,ons,digital_fee_netflix_30d,digital_fee_billion_netflix_30d,fee_ratio_netflix_30d
20224579,악마들,200000000,4.2,5383408.204420101,0.05383408204420101,2.6917041022100503
20227410,천박사 퇴마 연구소: 설경의 비밀,11300000000,8.4,345006172.0937175,3.450061720937175,3.0531519654311285
20225894,뉴 노멀,3800000000,9.6,120272577.73719849,1.2027257773719848,3.165067835189434
20208962,대외비,10200000000,9.6,322836919.1893223,3.228369191893223,3.165067835189434
20193706,카운트,5000000000,9.4,157306714.2813799,1.573067142813799,3.1461342856275984
20218541,밀수,17500000000,4.2,471048217.88675886,4.710482178867589,2.6917041022100507
20197654,소울메이트,4000000000,9.4,125845371.42510392,1.2584537142510392,3.1461342856275976
20227626,화란,4000000000,9.4,125845371.42510392,1.2584537142510392,3.1461342856275976
20225824,치악산,2000000000,6.8,58201245.90668997,0.5820124590668997,2.9100622953344986
20224667,잠,5000000000,9.4,157306714.2813799,1.573067142813799,3.1461342856275984
20224517,용감한 시민,8000000000,4.2,215336328.17680404,2.15336328176804,2.6917041022100503
20202247,싱글 인 서울,4500000000,9.4,141576042.85324192,1.4157604285324192,3.1461342856275984
20212866,서울의 봄,23250000000,9.4,731476221.4084164,7.314762214084164,3.1461342856275976
20234673,뽀로로 극장판 슈퍼스타 대모험,3800000000,6.8,110582367.22271097,1.1058236722271098,2.9100622953344994
20218935,더 문,28000000000,7.4,829616952.6672966,8.296169526672967,2.962917688097488
20226500,달짝지근해: 7510,6500000000,5.8,183563702.19559342,1.8356370219559341,2.824056956855283
20203702,노량: 죽음의 바다,31200000000,9.4,981593897.1158105,9.815938971158106,3.1461342856275976
20223896,거미집,9600000000,5.8,271109467.8581072,2.711094678581072,2.824056956855283
20197122,1947 보스톤,21000000000,9.4,660688199.9817957,6.606881999817957,3.1461342856275984
20228819,30일,6000000000,5.8,169443417.41131702,1.69443417411317,2.8240569568552836
20204264,콘크리트 유토피아,18900000000,9.4,594619379.9836161,5.946193799836161,3.1461342856275984
20198482,드림,13900000000,5.8,392543917.0028844,3.925439170028844,2.824056956855283
20223565,다음 소희,1500000000,9.4,47192014.28441398,0.4719201428441398,3.1461342856275984
20231577,라방,800000000,9.6,25320542.681515466,0.2532054268151547,3.1650678351894337
20200622,소년들,10000000000,9.4,314613428.5627598,3.146134285627598,3.1461342856275984
20231681,오픈 더 도어,4500000000,9.4,141576042.85324192,1.4157604285324192,3.1461342856275984
20192995,보호자,8000000000,4.2,215336328.17680404,2.15336328176804,2.6917041022100503
20202026,마루이 비디오,3000000000,9.4,94384028.56882796,0.9438402856882796,3.1461342856275984
20193879,비공식작전,20000000000,9.4,629226857.1255196,6.292268571255196,3.1461342856275984
20227684,멍뭉이,3000000000,9.4,94384028.56882796,0.9438402856882796,3.1461342856275984
20226411,범죄도시3,13500000000,9.6,427284157.7505735,4.272841577505735,3.1650678351894337
20231773,빈틈없는 사이,2000000000,9.4,62922685.71255196,0.6292268571255196,3.1461342856275976
20233014,타겟,4500000000,9.6,142428052.58352453,1.4242805258352453,3.165067835189434
20233235,가문의 영광: 리턴즈,4000000000,5.8,112962278.27421135,1.1296227827421135,2.8240569568552836
20211937,귀공자,9150000000,4.2,246290925.3522196,2.462909253522196,2.6917041022100503
20200154,킬링 로맨스,7500000000,5.8,211804271.7641463,2.118042717641463,2.824056956855284
20226489,리바운드,7000000000,9.4,220229399.99393186,2.2022939999393185,3.1461342856275976
20214823,유령,13700000000,9.4,431020397.13098097,4.31020397130981,3.1461342856275984
20231523,그 여름,56000000,6.8,1629634.8853873194,0.016296348853873193,2.910062295334499
20225865,옥수역귀신,1750000000,6.8,50926090.16835373,0.5092609016835373,2.910062295334499
20210544,웅남이,4000000000,5.8,112962278.27421135,1.1296227827421135,2.8240569568552836
